CODE,LOCATION,ADDRESS,LATITUDE,LONGITUDE,BRAND
L01,Baseline,"760 Dr Danister De Silva Mawatha, Colombo 00900",6.9424531,79.8766013,Laugfs
L02,Biyagama,Laugfs Super Market Biyagama,6.940681,79.984425,Laugfs
L03,Boralesgamuwa,"RWR2+JMV, Horana Rd, Boralesgamuwa",6.8334215,79.8945241,Laugfs
L04,Chilaw,"HQJW+F5W, Chilaw",7.5817787,79.7957388,Laugfs
L05,Delgoda,"No.48/7 New Kandy Rd, 11650",6.9880219,80.011381,Laugfs
L06,DS Borella,"WV5G+7GX, Colombo 00700",6.908246,79.8737825,Laugfs
L07,Ederamulla,"XWW7+VQ, No.291/1/C, Wattala",6.995779,79.9132546,Laugfs
L08,Hanwella,"40 High Level Rd, Hanwella",6.9023252,80.0848934,Laugfs
L09,Havelock Town,"252 Havelock Pl, Colombo 00500",6.8856692,79.8630631,Laugfs
L10,Hokandara,"VXJ5+4V7, Hokandara Rd, Hokandara",6.8802812,79.9570883,Laugfs
L11,Jubilee Post,"351 Galle Rd, Colombo 00600",6.8354837,79.8110733,Laugfs
L12,Kaduwela,"WXPJ+QVF, AB10, Kaduwela",6.9369282,79.9796037,Laugfs
L13,Kandana,"No.241 Negombo Rd, Ragama",7.0366682,79.896473,Laugfs
L14,Katubedda,"RV4M+3PQ, Soysapura Rd, Moratuwa",6.7888246,79.8641574,Laugfs
L15,Katunayaka,"5WHC+979, Katunayake-Veyangoda Rd, Katunayake",7.1581949,79.8896257,Laugfs
L16,Kelaniya,"310 Waragoda Rd, Peliyagoda",6.9583661,79.9050873,Laugfs
L17,Kesbawa,"107 Colombo - Horana Rd, Piliyandala",6.7951062,79.9336578,Laugfs
L18,Kiribathgoda,"60 Kandy - Colombo Rd, Kiribathgoda",6.9797444,79.926612,Laugfs
L19,Kohuwala,"VV8P+J25, B84, Nugegoda",6.8665245,79.8825381,Laugfs
L20,Kolonnawa,"WVJQ+XPH, Road, Kolonnawa 10600",6.9324308,79.8867749,Laugfs
L21,Koswatta,"WW5P+8F2, B240, Sri Jayawardenepura Kotte",6.9082667,79.9335686,Laugfs
L22,Kottawa,"364 Avissawella Rd, Pannipitiya 10230",6.8421626,79.9601778,Laugfs
L23,Kurunegala,"Ambepussa - Kurunegala - Trincomalee Hwy, Trincomalee",7.474081,80.3516214,Laugfs
L24,Maharagama,"129 High Level Rd, Maharagama 10280",6.84507,79.9279104,Laugfs
L25,Mattegoda,"No 193/20H, Polgasowita",6.8113771,79.9730276,Laugfs
L26,Moratuwa,"06 Old Galle Rd, Moratuwa 10400",6.8052121,79.8081556,Laugfs
L27,Negombo,"6V33+222, Negombo",7.2060848,79.8440507,Laugfs
L28,Negombo-2,"Rajapakse Broadway, Negombo",7.2096481,79.8359927,Laugfs
L29,Nugegoda,"VV8P+J25, B84, Nugegoda",6.8665245,79.866064,Laugfs
L30,Pelawatta,"VWRH+C5X, Sri Jayawardenepura Kotte",6.8911186,79.9254149,Laugfs
L31,Pepiliyana,"No: 68 Pepiliyana Rd, Nugegoda",6.8615546,79.8925084,Laugfs
L32,Pitakotte,"No.338 Kotte Rd, Sri Jayawardenepura Kotte 10100",6.8832052,79.8994188,Laugfs
L33,Raddolugama,"4VQX+5WV, Katunayake",7.1379864,79.897225,Laugfs
L34,Rajagiriya,"1070 Sri Jayawardenepura Mawatha, Sri Jayawardenepura Kotte 10100",6.907645,79.8980634,Laugfs
L35,Rathmalana,"Gonaakowila S weerasena silva rd, ratmalana 5A, S Weerasena silva mw",6.8113568,79.8344401,Laugfs
L36,Seeduwa,"4VJG+CJ5, Negombo",7.1310197,79.8740202,Laugfs
L37,Wattala,"No .08 Hendala Rd, Wattala 11300",6.9910198,79.8832669,Laugfs
L38,Wellawatta,"351 Galle Rd, Colombo 00600",6.8715543,79.8525956,Laugfs
L39,Werahera,"RWG5+36R, Boralesgamuwa 10290",6.825243,79.9054252,Laugfs
14001,DELKANDA,"Nugegoda Delkanda Apartment, High Level Rd, Nugegoda 10250",6.8618093,79.9021526,Softlogic Supermarket
14003,ASIRI CENTRAL,"3rd Place, Asiri Central Hospital, 01000",6.9205391,79.8631308,Softlogic Supermarket
14004,ASIRI KANDY,Softlogic GLOMARK Essentials - Peradaniya,7.2742831,80.6087316,Softlogic Supermarket
14005,KURUNEGALA,"75 Colombo Road, Kurunegala",7.4844539,80.3612803,Softlogic Supermarket
14006,KOTTAWA,"1285 High Level Rd, Pannipitiya",6.8392171,79.9763988,Softlogic Supermarket
14007,NEGOMBO,"180 St Joseph's St, Negombo 11500",7.2055266,79.845281,Softlogic Supermarket
14008,NAWALA,"268 Nawala Rd, Sri Jayawardenepura Kotte 10100",6.888536,79.8850743,Softlogic Supermarket
14009,MOUNT - LAVINIA,"282 Galle Rd, Dehiwala-Mount Lavinia 10370",6.8363241,79.8640786,Softlogic Supermarket
14010,MALABE,"604 Athurugiriya Rd, Malabe 10115",6.8940246,79.958491,Softlogic Supermarket
14011,CR FC,"28 Malalasekara Mawatha, Colombo 00700",6.9011878,79.8684319,Softlogic Supermarket
14012,THALAWATHUGODA,"559/551, Pelawatte Road, 6 Battaramulla - Pannipitiya Rd, Battaramulla 10120",6.8840289,79.9305048,Softlogic Supermarket
14013,KANDANA,"135 Negombo Road, Rilaulla, Kandana",7.0553708,79.8936074,Softlogic Supermarket
14014,KANDY - MCC,"ODEL Mall, Kandy",7.2860018,80.6237905,Softlogic Supermarket
14015,WATTALA,"XVVR+GV9, Wattala 11300",6.9937847,79.8896595,Softlogic Supermarket
A01,Wattala SC,"155 Old Negombo Rd, Wattala 11300",6.983389,79.885627,Arpico
A02,Borelasgamuwa SS,"RWR3+C24, Boralesgamuwa",6.8410022,79.899986,Arpico
A03,Hyde Park SC,"2, 69 Hyde Park Corner, Colombo 00200",6.9175873,79.8585189,Arpico
A04,Nawinna SC,"310 High Level Rd, Maharagama 10280",6.8529935,79.9141107,Arpico
A05,Matara SC,"WGVF+V7H, A2 Matara Road, Matara",5.9446764,80.5137183,Arpico
A06,Panadura SC,"542 Galle Rd, Panadura",6.7076101,79.9055465,Arpico
A07,Kottawa SS,"296 Avissawella Rd, Pannipitiya",6.8365824,79.9649907,Arpico
A08,Galle SC,"181 Matara Rd, Galle 80000",6.0371021,80.2275266,Arpico
A09,Malabe SS,"No. 741, Malabe",6.9061348,79.9459883,Arpico
A10,Kurunegala SC,"F9G4+XXF, 3 වන පටුමග, Kurunegala",7.4774404,80.3383712,Arpico
A11,Kohuwala SC,"S, 89 S. De S. Jayasinghe Mawatha, Dehiwala-Mount Lavinia",6.879293,79.8561455,Arpico
A12,Homagama SC,"47 Avissawella Rd, Homagama 10200",6.8406915,79.9768526,Arpico
A13,Yakkala SS,"32MH+6XF, Yakkala",7.0830697,80.0273303,Arpico
A14,Kegalle SC,"783R+FH7 Arpico super center, Kegalle",7.2536707,80.3388491,Arpico
A15,Thalawathugoda SC,"junction, 1034/V, Kumarage watta, Battaramulla - Pannipitiya Rd, Sri Jayawardenepura Kotte",6.8523564,79.9023066,Arpico
A16,Wattala-2 ADA,"Gemunu Palace Cinema, Near, Negombo - Colombo Main Rd, Wattala 11300",6.983389,79.885627,Arpico
A17,Kochchikade SC,"7V97+P4M, Negombo",7.2693498,79.8602015,Arpico
A18,Kundasale SS,"7MJF+2X3, Nattarampota 20168",7.2800245,80.6723297,Arpico
A19,Katugastota SC,"Nittawela Junction Bus Stop, Katugastota Rd, Kandy",7.3171252,80.6272529,Arpico
A20,Minuwangoda SC,"5WCV+M93, Katunayake Road, Minuwangoda",7.1716643,79.940845,Arpico
A21,Katukurunda SC,Katukurunda 12000,6.5587753,79.9659406,Arpico
A22,Seeduwa SC,"No: 600 Negombo Rd, Seeduwa 11410",7.1431849,79.8719422,Arpico
A23,Kiribathgoda SS,"123 Kandy Rd, Kelaniya 11600",7.0595398,79.8295168,Arpico
A24,Ragama Daily,Arpico Daily - Ragama,7.0274426,79.9224167,Arpico
A25,Athurugiriya Daily,112 Athurugiriya Rd,6.8783428,79.986067,Arpico
A26,Weliweriya Daily,"132/24 B New Kandy Rd, Weliweriya",7.0301822,80.0264964,Arpico
A27,Kuliyapitiya Daily,"F2FW+926, Kuliyapitiya",7.4734048,80.0424318,Arpico
A28,Ambalangoda Daily,"63M3+5RF, Ambalangoda",6.2329414,80.0519811,Arpico
